id,name,profile_name,clicks,registrations,ftd_count,reg_rate,ftd_rate,ngr_per_ftd,total_ngr,retention_30d
877,Harris-Barker,Email,9216,498,187,0.0541,0.3771,119.87,22416.2,0.4136
878,Khan LLC,Email,4223,150,41,0.0357,0.2791,55.09,2258.55,0.3143
879,Baxter LLC,Email,2752,140,37,0.0509,0.2695,55.39,2049.61,0.3656
880,Pena LLC,Email,3265,98,28,0.03,0.2917,108.6,3040.88,0.3955
881,Watson Ltd,Email,8045,502,125,0.0624,0.2498,103,12874.9,0.37
882,Williams Ltd,Email,1056,49,15,0.0466,0.3177,124.93,1873.97,0.3845
883,Barber-Fischer,Email,6819,281,105,0.0413,0.3746,73.08,7673.07,0.391
884,Rios-Padilla,Email,9580,465,142,0.0486,0.3072,107.92,15324.5,0.4277
885,Lewis Inc,Email,2432,168,57,0.0693,0.3408,77.28,4405.04,0.4714
886,Wheeler PLC,Email,10507,571,152,0.0544,0.2669,97.5,14819.5,0.3035
887,"Wallace, Smith and Cooper",Email,4694,150,46,0.032,0.307,126.94,5839.16,0.4723
888,Mcneil Group,Email,6392,432,120,0.0677,0.2791,109.25,13110,0.3863
889,"Anderson, Jones and Reyes",Email,3052,149,41,0.049,0.279,103.36,4237.84,0.4208
890,"Shaffer, Garcia and Richardson",Email,8880,454,156,0.0512,0.3455,63.42,9893.18,0.3357
891,Taylor-Ayala,Email,4179,247,66,0.0593,0.2674,100.97,6663.71,0.3242
892,May Ltd,Email,9579,593,146,0.0619,0.2465,57.79,8436.82,0.484
893,Jones PLC,Email,7287,266,62,0.0366,0.2366,98.23,6090.3,0.4587
894,Bishop and Sons,Email,6607,335,119,0.0507,0.3556,94.84,11285.9,0.4875
895,Bell-Lewis,Email,8851,407,149,0.0461,0.3664,103.88,15478.3,0.4478
896,"Hernandez, Jenkins and Parks",Email,3812,255,83,0.067,0.3273,125.83,10443.8,0.3707
897,Miller Inc,Email,7156,216,75,0.0302,0.3513,76.73,5754.79,0.3432
898,Goodwin PLC,Email,11488,497,142,0.0433,0.2863,108.08,15347.9,0.5054
899,"Cruz, Richmond and Edwards",Email,6638,413,117,0.0623,0.2841,116.23,13599.1,0.3539
900,Wright Ltd,Email,5932,239,75,0.0404,0.315,118.99,8924.44,0.479
901,Wright PLC,Fraud,1237,485,369,0.3927,0.7614,5.9,2177.5,0.0251
902,"Griffith, Mitchell and Pugh",Fraud,629,260,155,0.4142,0.5997,8.14,1261.82,0.0598
903,Abbott Ltd,Fraud,2788,553,378,0.1986,0.6839,6.84,2584.74,0.0262
904,Harris-Lawson,Fraud,1945,871,788,0.4479,0.9058,14.3,11272.2,0.0434
905,Adkins LLC,Fraud,3718,1256,853,0.3381,0.6792,5.11,4357.07,0.0107
906,"Brown, Hurst and Blevins",Fraud,1352,503,393,0.3725,0.783,5.17,2033.01,0.0645
907,Cruz-Allen,Fraud,3956,1703,1552,0.4307,0.9116,13.72,21289.8,0.0548
908,"Wheeler, Rice and Levine",Fraud,558,174,105,0.3119,0.6089,12.58,1320.41,0.0116
909,Peck-Anderson,Fraud,1517,435,388,0.2872,0.8941,10.18,3950.66,0.0666
910,"Fisher, Payne and Thompson",Fraud,606,193,119,0.3201,0.6187,7.36,875.87,0.0129
911,Best-Townsend,Fraud,1201,421,264,0.3511,0.628,11.49,3032.58,0.0574
912,Matthews Inc,Fraud,711,143,98,0.2018,0.6891,17.04,1669.5,0.0437
913,Lewis-Livingston,Fraud,3467,748,513,0.2159,0.686,12.22,6266.9,0.0474
914,Hunter-Fuller,Fraud,3962,1258,1142,0.3177,0.908,17.01,19422.4,0.0212
915,"Wang, Henderson and Morales",Fraud,3470,949,810,0.2736,0.8545,13.36,10821.5,0.0683
916,"Herrera, Jensen and Ramirez",Fraud,897,398,361,0.4438,0.9071,17.23,6220,0.055
917,Miller-Mccall,Fraud,3510,704,598,0.2008,0.85,5.5,3286.96,0.0131
918,Herrera Group,Fraud,1276,555,451,0.4356,0.813,17.46,7875.62,0.0221
919,"Walters, Davenport and Becker",Fraud,2963,1075,672,0.363,0.6255,4.39,2953.05,0.0464
920,Collins Group,Fraud,2855,1280,834,0.4486,0.6517,17.04,14213.4,0.0358
921,"Ashley, Allen and Sanchez",Fraud,3686,770,638,0.2091,0.8295,8.06,5141.74,0.0205
922,Wilson-Salazar,Fraud,1212,531,392,0.4382,0.7386,17.8,6976,0.0493
923,Parker Ltd,Fraud,2731,529,458,0.194,0.8663,14.94,6843.31,0.0392
924,"Yang, Wilson and Zimmerman",Fraud,1410,615,464,0.4366,0.756,11.22,5206.93,0.0592
925,"Smith, Crawford and Reed",Fraud,2766,929,771,0.3361,0.8306,7.89,6082.42,0.0116
926,"Logan, Le and Jackson",Fraud,1874,673,603,0.3592,0.8964,17.18,10358.1,0.0569
927,Brady LLC,Fraud,2418,551,397,0.2279,0.7207,16.25,6450.95,0.0198
928,"Tanner, Wise and Johnson",Fraud,3619,738,611,0.204,0.8282,12.39,7572.52,0.0177
929,Nelson-Brown,Fraud,3643,936,825,0.2571,0.8821,6.58,5429.61,0.0206
930,"Proctor, Burton and Crawford",Fraud,2958,925,636,0.3129,0.6884,14.48,9206.98,0.0627
931,"Ward, Porter and Bradley",Fraud,1324,289,246,0.2186,0.8542,13.11,3224.05,0.0518
932,Moore-Ayala,Fraud,830,298,188,0.3596,0.633,12.03,2261.81,0.0348
933,"Craig, Wilson and Yang",Fraud,3795,847,547,0.2234,0.6468,17.45,9542.58,0.027
934,Williams Inc,Fraud,3906,1447,1096,0.3705,0.758,15.58,17072,0.056
935,Williams LLC,Fraud,1943,742,491,0.3822,0.6621,9.29,4559.96,0.0185
936,Mora-White,Fraud,1252,471,424,0.3768,0.9011,16.02,6794.2,0.0308
937,Tran Ltd,Fraud,1474,296,248,0.2012,0.8378,5.18,1284.57,0.0198
938,"Rios, Walker and Wright",Fraud,1018,226,128,0.2225,0.5696,7.93,1015.25,0.0203
939,"Flores, Mckenzie and Duncan",Fraud,3503,1061,592,0.303,0.5588,6.89,4078.1,0.0458
940,Shaw Inc,Fraud,3170,1038,594,0.3275,0.573,12.71,7551.28,0.0233
941,Walker PLC,Fraud,2552,906,714,0.3553,0.7888,7.18,5129.56,0.0335
942,Finley Inc,Fraud,2007,586,389,0.2921,0.6644,3.82,1484.72,0.0257
943,Cline-Ayala,Fraud,1048,456,322,0.4351,0.7076,6.83,2198.53,0.0361
944,Murphy-Tran,Fraud,2359,473,336,0.2006,0.7105,11.39,3825.5,0.0426
945,Wood LLC,Fraud,2956,832,721,0.2815,0.8676,10.03,7231.42,0.0484
946,"Mueller, Stevenson and Sanchez",Fraud,3844,1060,833,0.2759,0.7867,10.1,8414.32,0.0185
947,Vargas-Snyder,Fraud,2665,1004,909,0.3769,0.9055,12.29,11170.7,0.0602
948,Oconnor PLC,Fraud,2453,534,370,0.2179,0.6942,11.98,4431.41,0.0483
949,Hernandez Group,Fraud,1247,322,178,0.2584,0.5549,8.59,1529.7,0.0401
950,Hall LLC,Fraud,1174,278,201,0.2372,0.726,13.66,2746.24,0.0391
951,"Franco, Wiley and Tapia",Fraud,1925,393,266,0.2046,0.6791,14.8,3937.33,0.0347
952,Blake Group,Fraud,3224,750,649,0.2329,0.8666,7.14,4633.51,0.0192
953,"Acosta, Garcia and Moreno",Fraud,1799,495,333,0.2757,0.6737,13.37,4451.28,0.0342
954,Barnes Inc,Fraud,2694,954,730,0.3543,0.7658,3.02,2202.62,0.0515
955,Dawson Inc,Fraud,3192,858,536,0.2691,0.6251,5.43,2908.01,0.0528
956,Morse PLC,Fraud,3508,783,617,0.2234,0.7887,7.55,4657.24,0.0532
957,Haynes-Watson,Fraud,1186,459,300,0.3878,0.6539,15.41,4621.9,0.0694
958,"Miller, Davis and Anderson",Fraud,2293,704,458,0.3072,0.6516,4.63,2120.71,0.0171
959,Jones-Bradley,Fraud,3453,1316,1014,0.3813,0.7708,6.42,6510.12,0.0588
960,Bates-Anderson,Fraud,640,225,140,0.3526,0.6226,6.39,894.45,0.0364
961,Green-Edwards,Fraud,813,325,254,0.4007,0.7838,8.64,2195.13,0.0192
962,Haynes-Moss,Fraud,1024,409,245,0.3997,0.6002,3,736.2,0.0695
963,Chavez-Hall,Fraud,1776,563,431,0.3174,0.7669,17.67,7614.94,0.0377
964,Taylor PLC,Fraud,862,176,124,0.205,0.7052,8.85,1096.89,0.015
965,Moore and Sons,Fraud,2194,774,675,0.3531,0.8733,6.68,4510.95,0.0374
966,Owens-Russell,Fraud,3077,1252,1132,0.4071,0.9048,8.82,9985.17,0.0595
967,"Howard, Townsend and Hayes",Fraud,697,219,187,0.3147,0.8584,11.63,2174.06,0.0375
968,Baker-Wilson,Fraud,3472,1321,844,0.3807,0.6393,3.22,2716.21,0.0113
969,Aguirre LLC,Fraud,2414,815,545,0.3379,0.6698,13.06,7119.13,0.0241
970,"Terry, Williams and Huff",Fraud,2110,856,585,0.4061,0.6842,13.22,7736.31,0.0432
971,Hernandez-Dawson,Fraud,3372,629,353,0.1868,0.5614,17.68,6242.2,0.044
972,Foster-Williams,Fraud,1904,494,315,0.2596,0.6385,7.99,2515.4,0.0668
973,Green-Ewing,Fraud,3827,1231,801,0.3218,0.6507,4.26,3408.48,0.0575
974,Crane Group,Fraud,2994,701,439,0.2343,0.6266,17.52,7692.89,0.0403
975,"Adkins, Wright and Murray",Fraud,3066,813,632,0.2652,0.7777,16.64,10515.1,0.0207
976,Martinez Inc,Fraud,3177,620,393,0.1953,0.6348,17.12,6730.08,0.0427
977,Anderson Group,Fraud,3533,1425,896,0.4035,0.6293,14.74,13210.7,0.0669
978,Parks-Pace,Fraud,1794,398,300,0.2221,0.7549,16.73,5017.89,0.0552
979,Aguilar LLC,Fraud,1391,458,323,0.3295,0.7066,14.35,4633.73,0.0593
980,Johnson Inc,Fraud,3816,1618,1082,0.4241,0.6689,9.44,10214.6,0.0559
981,Orr Group,Fraud,533,132,106,0.2489,0.8095,15.71,1665.42,0.0274
982,Davis LLC,Fraud,1531,667,452,0.436,0.678,7.82,3535.25,0.032
983,Williams Group,Fraud,1666,540,428,0.3242,0.794,5.8,2483.72,0.0131
984,Jackson PLC,Fraud,923,178,134,0.193,0.7562,14.46,1937.43,0.0453
985,Underwood-Foster,Fraud,1383,564,370,0.4085,0.6568,5.01,1854.96,0.0273
986,Reyes Group,Fraud,1646,615,356,0.3738,0.5794,10.86,3867.17,0.067
987,Gomez and Sons,Fraud,2604,1017,672,0.3908,0.661,15.07,10127,0.0313
988,Ramirez-Stephenson,Fraud,3976,725,532,0.1825,0.7341,16.84,8957.04,0.0395
989,Mendez PLC,Fraud,621,268,160,0.4323,0.5981,16.52,2643.19,0.0266
990,Holland Group,Fraud,1168,421,365,0.3605,0.8674,4.87,1776.68,0.0403
991,Andrade-Mendoza,Fraud,608,179,160,0.2948,0.8975,5.44,870.21,0.0365
992,Ramirez and Sons,Fraud,625,238,143,0.381,0.6038,12.36,1768.08,0.0598
993,Gonzalez-Wilkerson,Fraud,3861,1469,1164,0.3805,0.7926,16.82,19575.5,0.0229
994,"Wright, Mcknight and Stephens",Fraud,2979,1335,1202,0.4484,0.9007,6.32,7594,0.0414
995,Mayo Ltd,Fraud,2499,832,515,0.3332,0.6197,17.09,8800.74,0.0573
996,Castillo-Harrington,Fraud,1867,414,372,0.2218,0.899,17.93,6671.16,0.0682
997,Durham-Shaw,Fraud,1478,600,429,0.4066,0.7154,16.01,6867.35,0.0139
998,Nelson-Johnson,Fraud,2743,1031,648,0.3759,0.6292,6.15,3985.24,0.0333
999,"Robinson, Huang and Osborne",Fraud,3351,762,498,0.2275,0.6539,14.96,7447.8,0.0527
1000,Stokes Group,Fraud,1618,702,401,0.434,0.5714,17.48,7007.7,0.0397
